Model,folds,mean_MAE,median_MAE,mean_RMSE,median_RMSE,mean_WAPE,median_WAPE
MA-30,370,96.05481729729729,95.1019222222222,144.19409972574337,142.4739443941304,1.9923749234657053,1.5828558254120577
MA-14,370,94.76092702702702,92.40211904761904,146.96259798118987,144.03129897845272,2.0114981829824625,1.555002173675708
MA-7,370,95.58984594594595,92.7780238095238,151.72723404943608,151.61679189475154,2.0142357745753987,1.4021593360161009
SBA,370,96.56887301556375,95.45970830637788,142.68696883052922,139.853128767406,2.045516884798469,1.638550568133316
Mean,370,96.84292344974504,95.76960740674798,142.26423482485802,139.10256077279092,2.0500154674331643,1.644375214579911
Intermittent Mean,370,96.84292344974504,95.76960740674798,142.26423482485802,139.1025607727909,2.0500154674331643,1.644375214579911
Croston,370,98.51597682368676,97.00656324977385,142.87265322037754,140.3243730664498,2.1009705913894705,1.6721584927719109
